Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
3Cnergy,502,CNER.SI,21.469,,,,Real Estate,59
5E Resources,NLC,,,,,,,
8Telecom,AZG,ETEL.SI,8.272,0.802,,,Technology Equipment,57
9R,1Y1,VIKO.SI,48.204,10.776,,,Energy - Fossil Fuels,
A-Smart,BQC,ASMA.SI,32.794,5.805,,,Industrial & Commercial Services,57
A-Sonic Aero,BTJ,ASON.SI,49.744,634.636,4.48,1.42,Transportation,64
ABR,533,ABRH.SI,90.448,74.625,36.09,2.22,Food & Beverages,63
Abterra,L5I,ABTR.SI,13.454,5.49,,,Energy - Fossil Fuels,-6
Abundance Intl,541,ABUN.SI,38.141,986.095,5.75,1.67,Industrial & Commercial Services,63
Abundante,570,TMCL.SI,15.122,8.237,5.36,6.9,Mineral Resources,54
Accrelist Ltd,QZG,ACCR.SI,14.275,211.172,,,Technology Equipment,
Ace Achieve Info,A75,ACEA.SI,5.875,38.036,,,Technology Equipment,42
Acesian Partners,5FW,ACES.SI,28.414,14.812,15.16,,Industrial & Commercial Services,57
Acma,AYV,ACMA.SI,1.865,51.746,,,Industrial Goods,61
AcroMeta,43F,ACRO.SI,8.73,29.103,100,,Industrial & Commercial Services,64
Addvalue Tech,A31,AVAU.SI,41.367,4.933,,,Technology Equipment,54
Advanced,BLZ,ADVA.SI,7.454,41.729,,,Energy - Fossil Fuels,89
Advanced Systems,5TY,ADSA.SI,22.324,18.99,,,Technology Equipment,56
Advancer Global,43Q,ADVN.SI,32.555,60.132,,10.7,Industrial & Commercial Services,80
Adventus,5EF,ADVE.SI,19.613,0,,,Real Estate,48
Aedge Group,XVG,AEDE.SI,28.09,,,3.77,Industrial & Commercial Services,
AEM SGD,AWX,AEM.SI,1358.456,565.462,13.94,1.74,Technology Equipment,68
AEM USD,XWA,,,,,,,
AF Global,L38,AFGL.SI,99.23,5.379,,,Cyclical Consumer Services,76
AGV,1A4,AGVG.SI,9.98,,,,Holding Companies,18
AIMS APAC Reit,O5RU,AIMA.SI,974.553,142.39,10.81,5.98,Real Estate,90.2
